# meeting: 定例会議（青葉ビバレッジ 商品企画部）
# date: 2026-09-08 10:00
[10:00] 鈴木: それでは定例を始めます。今日は新商品の件と、売上見込表の更新、あと商品Cの扱いについてですね。
[10:00] 山田: よろしくお願いします。
[10:01] 田中: お願いします。
[10:01] 佐藤: 営業の佐藤です。今日は得意先の反応も共有します。
[10:01] 高橋: 管理部の高橋です。予算会議の日程についても後で触れさせてください。
[10:02] 鈴木: まず先週の振り返りから。山田さん、売上見込表の第2四半期の実績反映は終わりましたか。
[10:02] 山田: はい、先週金曜に反映済みです。商品Aから商品Kまで全部入れました。
[10:03] 鈴木: ありがとうございます。合計行の数式もそのまま使えていますか。
[10:03] 山田: 一応そのままです。ただ末尾の行が範囲に入っているか、あとで確認しておきます。
[10:03] 鈴木: お願いします。
[10:04] 鈴木: では本題の一つ目。新商品「青葉ゆず炭酸」、社内コードで言うと商品Dですね。これを第3四半期から売上見込に載せるかどうか。
[10:04] 佐藤: 営業としてはぜひ載せたいです。先週回った得意先3社のうち2社から、秋口に置きたいという話が出ています。
[10:05] 田中: 製造側も9月末には初回ロットが出せる見込みです。原価はまだ試算中ですが。
[10:05] 高橋: 予算会議は9月末なので、それまでに見込みに入っていないと、来期の枠取りができません。
[10:06] 鈴木: 分かりました。商品Dの追加を決定します。売上見込表に商品Dの行を追加してください。第3四半期は初回ロット分の300、第4四半期は400で置きましょう。
[10:06] 山田: 了解です。商品Dの行を追加して、第3四半期300、第4四半期400で入れます。
[10:06] 佐藤: 400は少し控えめじゃないですか。500くらい行けると思いますが。
[10:07] 鈴木: 得意先が確定してから上げましょう。今は400で。
[10:07] 佐藤: 分かりました。
[10:07] 田中: 原価の試算は僕がやります。今週中に出します。
[10:08] 鈴木: お願いします。田中さんが商品Dの原価試算、今週中ですね。
[10:08] 田中: はい。
[10:08] 佐藤: あと得意先へのヒアリングは続けます。次回までに残り5社を回ります。
[10:09] 鈴木: それも佐藤さんのタスクとして置いておきます。
[10:09] 高橋: ちょっと話が逸れますが、先週の社内イベントの写真、共有フォルダに上げてあります。
[10:09] 山田: あ、見ました。田中さんの顔がすごいことになってるやつ。
[10:10] 田中: やめてください。
[10:10] 鈴木: はい、戻りましょう。
[10:10] 鈴木: 二つ目。商品Bの第1四半期の数字なんですが、実績と見込みがずれています。
[10:11] 山田: 見込み表では800になっていますが、実績は850でした。返品分を引く前の数字を入れてしまっていて。
[10:11] 高橋: 予算会議に出す前に直しておきたいです。実績ベースで揃えてほしい。
[10:11] 鈴木: では商品Bの第1四半期は実績に合わせて850に修正することにします。山田さんお願いします。
[10:12] 山田: 分かりました。商品Bの第1四半期を850に直します。
[10:12] 佐藤: ちなみに第2四半期の商品Bはどうですか。
[10:12] 山田: 第2四半期は820で実績と一致しています。
[10:13] 佐藤: 了解です。
[10:13] 鈴木: 三つ目。商品Cの扱いです。売上が落ちていて、佐藤さんから終了の提案がありました。
[10:13] 佐藤: 半年で3割落ちています。棚も取られ始めているので、そろそろ引き際かと。
[10:14] 田中: 製造ラインとしては商品Cをやめると商品Eの充填に余裕が出るので、悪くはないです。
[10:14] 高橋: ただ既存の契約が年末まで残っている得意先があります。違約になるとまずい。
[10:15] 鈴木: それは確認が要りますね。契約の件が分かるまでは決めません。商品Cの終了は今日は保留にします。
[10:15] 佐藤: 分かりました。契約状況は私が確認します。
[10:15] 鈴木: 今の段階では商品Cの行は見込み表に残したままにしてください。
[10:16] 山田: はい、商品Cは残しておきます。
[10:16] 鈴木: 他に何かありますか。
[10:16] 佐藤: 提案なんですが、第4四半期は年末商戦があるので、全商品を一律10%上乗せしてはどうでしょう。
[10:17] 高橋: 根拠のない上乗せは予算会議で突っ込まれます。去年もそれで差し戻されました。
[10:17] 鈴木: 去年の反省がありますね。一律の上乗せはやめましょう。商品ごとに根拠がある分だけ積む方針で。
[10:17] 佐藤: 分かりました、取り下げます。
[10:18] 鈴木: 商品Eの値上げの話はどうなっていますか。
[10:18] 田中: 原材料費が上がっているので、値上げしないと利益が出ません。ただ幾らにするかはまだ。
[10:18] 佐藤: 得意先の反応を見ないと何とも。
[10:19] 鈴木: これは継続検討にします。次回までに田中さんが値上げ幅の案を持ってきてください。
[10:19] 田中: はい。
[10:19] 高橋: 予算会議は9月29日の午後で確定しました。資料の締め切りは26日です。
[10:20] 鈴木: 分かりました。26日までに見込み表を確定させる必要がありますね。
[10:20] 山田: 了解です。
[10:20] 鈴木: あと来週の定例ですが、15日は10時半開始にずらします。私が朝に別件があるので。
[10:21] 高橋: 承知しました。カレンダー直しておきます。
[10:21] 山田: 話変わりますけど、自販機の新しいやつ、1階に入りましたね。
[10:21] 田中: あれ商品Aが売り切れてました。
[10:21] 佐藤: 社員が買い占めてる説あります。
[10:22] 鈴木: はいはい。では今日の決定事項を確認します。
[10:22] 鈴木: 一つ、商品Dを売上見込に追加。第3四半期300、第4四半期400。山田さんが行を追加。
[10:22] 鈴木: 二つ、商品Bの第1四半期を850に修正。山田さん。
[10:23] 鈴木: 三つ、商品Cの終了は保留。佐藤さんが契約状況を確認。
[10:23] 鈴木: 四つ、第4四半期の一律上乗せは行わない。
[10:23] 鈴木: タスクは、田中さんが商品Dの原価試算を今週中、佐藤さんが得意先ヒアリング残り5社、田中さんが商品Eの値上げ幅の案を次回まで。
[10:24] 山田: 私は商品Dの行追加と商品Bの修正ですね。
[10:24] 鈴木: そうです。以上です。お疲れさまでした。
[10:24] 全員: お疲れさまでした。
